*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 151     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 152     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.01
 2015 153     6     5     0.7     0.0     0.7    0.00    3.45      0.2     0.1     0.6     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.03
 2015 154     7     6     0.8     0.0     0.8    0.00    3.48      0.2     0.2     0.7     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 155     8     7     1.0     0.0     1.0    0.00    3.44      0.2     0.3     0.8     0.2    3.78    2.37     0.0    1.6    0.0    0.00    0.05
 2015 156     9     8     1.1     0.0     1.1    0.00    3.49      0.2     0.5     0.9     0.2    3.83    2.40     0.0    1.6    0.0    0.00    0.06
 2015 157    10     9     1.3     0.0     1.3    0.00    3.49      0.2     0.7     1.0     0.2    3.84    2.41     0.0    1.6    0.0    0.00    0.07
 2015 158    11    10     1.4     0.0     1.4    0.00    3.46      0.2     0.9     1.2     0.3    3.84    2.41     0.0    1.6    0.0    0.00    0.08
 2015 159    12    11     1.7     0.0     1.7    0.00    3.48      0.2     1.2     1.4     0.3    3.85    2.41     0.0    1.6    0.0    0.00    0.10
 2015 160    13    12     1.9     0.0     1.9    0.00    3.46      0.4     1.3     1.5     0.3    3.81    2.39     0.0    1.6    0.1    0.00    0.11
 2015 161    14    13     2.2     0.0     2.2    0.00    3.49      0.4     1.6     1.8     0.4    3.83    2.40     0.0    1.6    0.0    0.00    0.12
 2015 162    15    14     2.6     0.0     2.6    0.00    3.51      0.4     2.0     2.1     0.4    3.84    2.41     0.0    1.6    0.0    0.00    0.13
 2015 163    16    15     3.0     0.0     3.0    0.00    3.52      0.4     2.5     2.5     0.5    3.85    2.41     0.0    1.6    0.0    0.00    0.15
 2015 164    17    16     3.3     0.0     3.3    0.00    3.52      0.4     3.0     2.8     0.5    3.85    2.41     0.0    1.6    0.0    0.01    0.16
 2015 165    18    17     3.4     0.0     3.4    0.00    3.50      0.5     3.2     2.9     0.5    3.82    2.39     0.0    1.6    0.1    0.02    0.17
